Station,StationName,Contact,Program,Email,IncludedInDataset,SensorStatus,PositionOfSensorMeasurement,PositionOfSensorAttachment,DistanceFromSensorAttachmentPoint,SensorDepth,ChangesSensorDeployment,InstrumentManufacturer,InstrumentModel,CDECUnits,CDECPrecision,SensorAccuracy,BackupSensor,DataTreated,DataTreatmentDescription,DistanceFromShore,Comments,AdditionalDataSource,StationNumber,StartDateAdditionalData,EndDateAdditionalData
HBP,HARVEY O BANKS PUMPING P (KA000331),"Tanya Veldhuizen, Daniel Wisheropp & Mike Taliaferro",O&M-Delta Field Division,Tanya.Veldhuizen@water.ca.gov; Mike.Taliaferro@water.ca.gov; Daniel.Wisheropp@water.ca.gov,Y,Active,NA,Surface,1,10,N,Foxboro,875EC-A3F-A,"F, C",0.1,0.1,N,Y,Outlier filter of 5 - 30 degrees,0,NA,Water Data Library- WT from grab samples and handheld available,NA,NA,NA
DLC,DELTA CROSS CHANNEL BTW SAC R & SNODGRAS,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,20,NA,National Water Information System (Public),11336600,12/1/2009,present
DSJ,DUTCH SLOUGH AT JERSEY ISLAND,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,10,NA,National Water Information System (Public),11313433,12/9/2009,present
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,37,NA,National Water Information System (Public),11455335,8/4/2008,present
FPT,SACRAMENTO RIVER AT FREEPORT,Catherine Ruhl & Alex Etheridge,USGS-Water Science Center,cruhl@usgs.gov; aetherid@usgs.gov,Y,Discontinued,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,59,Active on NWIS,National Water Information System (Public),11447650,10/1/2007,present
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,Catherine Ruhl & Alex Etheridge,USGS-Water Science Center,cruhl@usgs.gov; aetherid@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,5,NA,National Water Information System (Public),11447890,8/22/2013,present
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,10,NA,National Water Information System (Public),11447903,12/3/2009,present
HWB,MINER SLOUGH AT HWY 84 BRIDGE,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,12,Discontinued 6/29/2020,National Water Information System (Public),11455165,8/5/2008,present
LIB,LIBERTY ISLAND @ APPROX CNTR S END,Catherine Ruhl & Alex Etheridge,USGS-Water Science Center,cruhl@usgs.gov; aetherid@usgs.gov,Y,Active,Surface,Surface,NA,0.5,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,260,NA,National Water Information System (Public),11455315,7/16/2013,present
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,16,NA,National Water Information System (Public),11336790,11/30/2009,present
MDM,MIDDLE RIVER AT MIDDLE RIVER,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,20,NA,National Water Information System (Public),11312676,12/3/2009,present
NMR,NORTH MOKELUMNE R AT W WALNUT GROVE RD,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Discontinued,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,25,NA,National Water Information System (Public),11336685,12/13/2010,1/19/2017
OH4,OLD RIVER AT HIGHWAY 4,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,34,NA,National Water Information System (Public),11313315,12/1/2009,present
PRI,SAN JOAQUIN R AT PRISONERS PT NR TERMINO,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,100,Discontinued 5/28/2020,National Water Information System (Public),11313460,10/1/2007,present
RIP,STANISLAUS RIVER AT RIPON,David Parker,USGS-Water Science Center,drparker@usgs.gov,Y,Active,NA,NA,NA,NA,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,5,NA,National Water Information System (Public),11303000,10/1/2007,present
RYF,CACHE SLOUGH ABV RYER ISLAND FERRY,Catherine Ruhl & Alex Etheridge,USGS-Water Science Center,cruhl@usgs.gov; aetherid@usgs.gov,Y,Active,Surface,Bottom,NA,1,Y,YSI,EXO 2,F,0.1,0.01,N,N,NA,229,"moved slightly downstream, on piling, in pipe (due to infrastructure/piling damage installed slightly downstream of RYI)",National Water Information System (Public),11455385,6/22/2018,present
RYI,CACHE SLOUGH AT RYER ISLAND,Catherine Ruhl & Alex Etheridge,USGS-Water Science Center,cruhl@usgs.gov; aetherid@usgs.gov,Y,Discontinued,Surface,Bottom,NA,1,Y,YSI,EXO 2,F,0.1,0.01,N,N,NA,NA,"Dicontinued 9/5/18, Moved to 11455385",National Water Information System (Public),11455350,8/15/2008,9/30/2019
SDI,SACRAMENTO RIVER AT DECKER ISLAND,Catherine Ruhl & Alex Etheridge,USGS-Water Science Center,cruhl@usgs.gov; aetherid@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,711,"For NWIS data, 01/15/2010 to 09/30/2013 (HYDRO EXO) , 01/25/2013 to present (BGC Project)",National Water Information System (Public),11455478,1/15/2010,present
SJG,SAN JOAQUIN RIVER AT GARWOOD BRIDGE,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,3,NA,National Water Information System (Public),11304810,12/1/2009,present
SJJ,SAN JOAQUIN RIVER AT JERSEY POINT (USGS),Catherine Ruhl & Alex Etheridge,USGS-Water Science Center,cruhl@usgs.gov; aetherid@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,5,"For NWIS data, 12/01/2009 to 11/01/2016, 01/14/2017 to present (Left Bank BGC Project)",National Water Information System (Public),11337190,12/1/2009,present
SMR,SOUTH MOKELUMNE R AT W WALNUT GROVE RD,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Discontinued,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,6,NA,National Water Information System (Public),11336680,12/20/2010,9/27/2017
SRV,SACRAMENTO RIVER AT RIO VISTA (USGS),Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Active,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,230,Discontinued 5/12/2020,National Water Information System (Public),11455420,1/1/2010,present
SSS,STEAMBOAT SLOUGH BTW SAC R AND SUTTER SL,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Discontinued,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,3,NA,National Water Information System (Public),11447850,5/22/2014,5/4/2016
SUT,SUTTER SLOUGH AT COURTLAND,Catherine Ruhl,USGS-Water Science Center,cruhl@usgs.gov,Y,Discontinued,Surface,Bottom,NA,1,N,YSI,EXO 2,F,0.1,0.01,N,N,NA,4,NA,National Water Information System (Public),11447830,5/22/2014,5/4/2016
VNS,SAN JOAQUIN RIVER NEAR VERNALIS,David Parker,USGS-Water Science Center,drparker@usgs.gov,Y,Active,NA,NA,NA,NA,NA,NA,NA,C,0.1,NA,NA,NA,NA,NA,NA,National Water Information System (Public),11303500,10/1/2007,present
